,X,Y,Frame Number,Temperature
0,607,286,0,157.46739539990517
1,607,286,1,145.802605485062
2,607,286,2,130.9078878037423
3,607,286,3,122.79782707329335
4,607,286,4,117.9916393295102
5,607,286,5,108.40849427710599
6,607,286,6,100.88400702275096
7,607,286,7,94.43184991238684
8,607,286,8,89.87551396568836
9,607,286,9,86.24145563041857
10,607,286,10,81.85112717992344
11,607,286,11,77.37997667562927
12,607,286,12,74.96969966126605
13,607,286,13,74.2301967580793
14,607,286,14,72.81947491560275
15,607,286,15,71.06536225719552
16,607,286,16,70.97805749277089
17,607,286,17,75.72314395843807
18,607,286,18,74.27855517358253
19,607,286,19,78.01286129334203
20,607,286,20,80.5566811811953
21,607,286,21,77.0822203400873
22,607,286,22,76.59920381062591
23,607,286,23,75.07422096317282
24,607,286,24,73.82459744272
25,607,286,25,72.7253297928751
26,607,286,26,72.78756350828897
27,607,286,27,72.9241581686419
28,607,286,28,71.5200503712426
29,607,286,29,69.32526361356824
30,607,286,30,71.07968512411182
31,607,286,31,69.50585854497622
32,607,286,32,69.32368310653672
33,607,286,33,70.12030518836613
34,607,286,34,69.50188679245284
35,607,286,35,69.2072447637357
36,607,286,36,69.6232398523084
37,607,286,37,70.11102043454724
38,607,286,38,70.66449362383486
39,607,286,39,69.17989620366308
40,607,286,40,69.69168889999438
41,607,286,41,73.07239695001047
42,607,286,42,74.38257391403928
43,607,286,43,78.39920368134199
44,607,286,44,138.42746193965587
45,607,286,45,134.85151646640412
46,607,286,46,126.46683570471097
47,607,286,47,122.08252196822174
48,607,286,48,118.36120442291131
49,607,286,49,114.42478879628057
50,607,286,50,105.84177023340408
51,607,286,51,101.80946669733513
52,607,286,52,93.62674946030513
53,607,286,53,90.30724441052602
54,607,286,54,85.92692751452341
55,607,286,55,83.92805075539437
56,607,286,56,78.69724874758839
57,607,286,57,77.3126483553747
58,607,286,58,74.19271158517182
59,607,286,59,73.55848381324222
60,607,286,60,72.39116606771708
61,607,286,61,71.30413272071794
62,607,286,62,72.13257102163524
63,607,286,63,72.47293165720531
64,607,286,64,75.15106534814967
65,607,286,65,75.11640436693605
66,607,286,66,72.69143143369581
67,607,286,67,72.42092109241158
68,607,286,68,73.50237756853173
69,607,286,69,70.90307408844066
70,607,286,70,72.72261749228448
71,607,286,71,70.98461166612955
72,607,286,72,68.73752676113773
73,607,286,73,69.5231268574374
74,607,286,74,70.96594240667145
75,607,286,75,69.44786864029767
76,607,286,76,69.64637383337615
77,607,286,77,69.50585854497622
78,607,286,78,68.80081646538528
79,607,286,79,69.6892241818738
80,607,286,80,69.17256291718272
81,607,286,81,69.35113010012721
82,607,286,82,68.81466045599412
83,607,286,83,69.98364797357513
84,607,286,84,69.32729429702438
85,607,286,85,68.48762796044508
86,607,286,86,72.31558655100073
87,607,286,87,71.36456378029871
88,607,286,88,80.88328821630085
89,607,286,89,94.95752795705019
90,607,286,90,92.92333498655248
91,607,286,91,93.29922410884964
92,607,286,92,97.87484744168319
93,607,286,93,98.74992951336023
94,607,286,94,97.45366704907173
95,607,286,95,96.04375857505373
96,607,286,96,90.9022227266095
97,607,286,97,87.11619486638796
98,607,286,98,84.9270998608141
99,607,286,99,81.48218927388598
100,607,286,100,79.69486494994133
101,607,286,101,77.20158219054935
102,607,286,102,73.81033590895865
103,607,286,103,74.28597914626232
104,607,286,104,74.09718537480407
105,607,286,105,72.88925671047912
106,607,286,106,72.17965259745498
107,607,286,107,70.6414843569556
108,607,286,108,72.66216320889711
109,607,286,109,72.6960190079038
110,607,286,110,72.70498486377397
111,607,286,111,71.08533674718015
112,607,286,112,72.47415277403772
113,607,286,113,71.01432014745498
114,607,286,114,68.88241703492776
115,607,286,115,68.97233766923715
116,607,286,116,68.18146309249126
117,607,286,117,68.5862556239544
118,607,286,118,68.0092164773028
119,607,286,119,67.76319753220307
120,607,286,120,68.40514339025677
121,607,286,121,69.26121865197393
122,607,286,122,68.9993483074208
123,607,286,123,67.82425541050142
124,607,286,124,67.86385732156027
125,607,286,125,68.27044964462976
126,607,286,126,67.85944664095602
127,607,286,127,68.05361765963109
128,607,286,128,66.08327908885448
129,607,286,129,66.29300219516739
130,607,286,130,68.12579397566552
131,607,286,131,70.89126327448042
132,607,286,132,70.0512111519237
133,607,286,133,73.05562118607475
134,607,286,134,73.57570242476464
135,607,286,135,73.55520685083141
136,607,286,136,75.23089263206141
137,607,286,137,79.63508611951298
138,607,286,138,80.78171012913822
139,607,286,139,81.35470012169922
140,607,286,140,83.04472806714959
141,607,286,141,79.88747263539088
142,607,286,142,78.9322604576842
143,607,286,143,76.5162415166896
144,607,286,144,74.82023871134689
145,607,286,145,74.88447707582472
146,607,286,146,72.89390526503428
147,607,286,147,72.01700317090533
148,607,286,148,69.22551750947552
149,607,286,149,69.50782571311532
150,607,286,150,68.97482780009811
151,607,286,151,69.26061283050635
152,607,286,152,69.3170747495671
153,607,286,153,70.71051490756459
154,607,286,154,72.08652265124455
155,607,286,155,70.6374227820593
156,607,286,156,69.20047153456764
157,607,286,157,68.80106798276665
158,607,286,158,68.8750146867568
159,607,286,159,69.8345896231938
160,607,286,160,69.74460302426598
161,607,286,161,69.6337312882682
162,607,286,162,68.80499427132465
163,607,286,163,68.57200617808076
164,607,286,164,68.3981053472579
165,607,286,165,68.71278634140762
166,607,286,166,68.75977342447689
167,607,286,167,68.6323654630418
168,607,286,168,68.47793955527972
169,607,286,169,68.28300887031861
170,607,286,170,68.81735256682224
171,607,286,171,67.69598950403318
172,607,286,172,68.19569248324062
173,607,286,173,66.06276487660341
174,607,286,174,66.6574454185452
175,607,286,175,68.19117718584329
176,607,286,176,69.36049801924165
177,607,286,177,70.17647011249768
178,607,286,178,72.86259698337662
179,607,286,179,68.3012597072032
180,607,286,180,66.3270086481492
181,607,286,181,67.71377922845325
182,607,286,182,69.73963167407551
183,607,286,183,70.62254388263034
184,607,286,184,71.0153188167759
185,607,286,185,72.54625449880916
186,607,286,186,71.39342456363681
187,607,286,187,71.18330781879004
188,607,286,188,69.10320344856733
189,607,286,189,69.98101395310773
190,607,286,190,68.68635002139496
191,607,286,191,69.0110719475869
192,607,286,192,68.88966883302876
193,607,286,193,68.74701207428444
194,607,286,194,68.77433660664246
195,607,286,195,67.70793138244198
196,607,286,196,67.88491761313006
197,607,286,197,67.91780810798745
198,607,286,198,68.67859623055928
199,607,286,199,69.43021131638318
200,607,286,200,68.19140827711469
201,607,286,201,69.15139149596018
202,607,286,202,68.08748148991913
203,607,286,203,67.95325176193415
204,607,286,204,67.84322533550451
205,607,286,205,67.87266873215478
206,607,286,206,68.62111510733351
207,607,286,207,68.37599093997736
208,607,286,208,67.84011850268938
209,607,286,209,67.99030495614531
210,607,286,210,68.1682729430606
211,607,286,211,67.99648227088957
212,607,286,212,68.61161032662957
213,607,286,213,68.10142920746178
214,607,286,214,67.57595324960451
215,607,286,215,68.60456544708455
216,607,286,216,68.00962912444791
217,607,286,217,67.33305743471652
218,607,286,218,66.55100685992477
219,607,286,219,66.71560331354814
220,607,286,220,69.34162858380321
221,607,286,221,69.1370554231033
222,607,286,222,71.1149385227632
223,607,286,223,68.96322400954925
224,607,286,224,66.35119426138873
225,607,286,225,66.08085781852344
226,607,286,226,68.28348712073162
227,607,286,227,67.85585862839741
228,607,286,228,68.23504447890312
229,607,286,229,68.87350534927629
230,607,286,230,69.05423980342785
231,607,286,231,68.18103076668963
232,607,286,232,68.06450300959818
233,607,286,233,68.12049492489498
234,607,286,234,66.01157423299505
235,607,286,235,67.27112460517617
236,607,286,236,65.44021839793197
237,607,286,237,65.39815475974359
238,607,286,238,65.47646754590122
239,607,286,239,66.98104713273497
240,607,286,240,67.18716647249084
241,607,286,241,65.94089410395657
242,607,286,242,67.72039910681478
243,607,286,243,67.97287614112503
244,607,286,244,68.48508333265352
245,607,286,245,68.7843278158404
246,607,286,246,64.51560784313725
247,607,286,247,63.913333333333334
248,607,286,248,66.47066666666666
249,607,286,249,67.23154637149594
250,607,286,250,68.0139279169212
251,607,286,251,66.58280820614935
