,X,Y,Frame Number,Temperature
0,755,327,0,156.90356173938432
1,755,327,1,155.45245473821564
2,755,327,2,148.11549566891244
3,755,327,3,134.9002875579476
4,755,327,4,123.84553361301546
5,755,327,5,114.42638894517162
6,755,327,6,107.39389785143659
7,755,327,7,100.52579755011408
8,755,327,8,94.69634575241437
9,755,327,9,93.67532299323251
10,755,327,10,91.30122108962522
11,755,327,11,90.63840586829092
12,755,327,12,88.51867712768966
13,755,327,13,85.31236337138692
14,755,327,14,85.13252631706754
15,755,327,15,82.7380535320955
16,755,327,16,78.74974327170511
17,755,327,17,77.60962400171626
18,755,327,18,77.34556495793188
19,755,327,19,77.50012212398026
20,755,327,20,76.71153504737003
21,755,327,21,77.90384000582739
22,755,327,22,77.83598960099468
23,755,327,23,77.01096237085328
24,755,327,24,74.39679840081249
25,755,327,25,73.51027404198763
26,755,327,26,72.0788698284561
27,755,327,27,72.3444960587864
28,755,327,28,70.88886917387832
29,755,327,29,71.00511777362665
30,755,327,30,71.60055714174845
31,755,327,31,71.05749216934424
32,755,327,32,71.55669661959777
33,755,327,33,71.12741622471344
34,755,327,34,72.34950842525876
35,755,327,35,70.32159995472132
36,755,327,36,70.34535344481444
37,755,327,37,70.47043597832243
38,755,327,38,72.49293966623877
39,755,327,39,70.25785226218261
40,755,327,40,70.82190999796377
41,755,327,41,70.66263889338819
42,755,327,42,69.58724727459955
43,755,327,43,70.47750747182604
44,755,327,44,70.84057639524245
45,755,327,45,70.37611848940506
46,755,327,46,71.1595082099814
47,755,327,47,71.3646557934883
48,755,327,48,69.9238154578153
49,755,327,49,70.7256311991874
50,755,327,50,70.29544324571225
51,755,327,51,70.54709048982508
52,755,327,52,70.47894983894726
53,755,327,53,69.42327778759783
54,755,327,54,70.01457572493987
55,755,327,55,70.10392081452544
56,755,327,56,70.14756567382912
57,755,327,57,70.47109885206669
58,755,327,58,71.4270477555191
59,755,327,59,72.46493100246013
60,755,327,60,71.30784870912846
61,755,327,61,70.83746176183494
62,755,327,62,70.58081697243438
63,755,327,63,72.15301308344547
64,755,327,64,72.24788851180122
65,755,327,65,71.31386358199637
66,755,327,66,71.32929174646158
67,755,327,67,73.37447854163095
68,755,327,68,72.41917203894855
69,755,327,69,71.41856335228661
70,755,327,70,73.19867979350616
71,755,327,71,72.65098460755115
72,755,327,72,72.3933274659365
73,755,327,73,73.32336043535743
74,755,327,74,73.03957721284823
75,755,327,75,73.43942575755736
76,755,327,76,73.68175733432253
77,755,327,77,74.87401520076207
78,755,327,78,74.8643756918577
79,755,327,79,74.60369506784548
80,755,327,80,74.77711287279442
81,755,327,81,73.86460282360946
82,755,327,82,75.03646978910596
83,755,327,83,72.76006323726133
84,755,327,84,73.11453514886963
85,755,327,85,72.67654440935956
86,755,327,86,72.43828286513438
87,755,327,87,87.15175681075041
88,755,327,88,121.54522974061346
89,755,327,89,122.29256521053715
90,755,327,90,123.21491001104235
91,755,327,91,121.33409252669037
92,755,327,92,113.98276702975124
93,755,327,93,105.04741201756997
94,755,327,94,100.8634123983041
95,755,327,95,96.01455581686223
96,755,327,96,92.91606907234237
97,755,327,97,90.41338808094356
98,755,327,98,88.7884236664098
99,755,327,99,86.61199476580217
100,755,327,100,84.98261680658017
101,755,327,101,84.98599462551377
102,755,327,102,82.23775714840212
103,755,327,103,82.31306299034642
104,755,327,104,78.49082570664117
105,755,327,105,76.95084613107429
106,755,327,106,76.04159498722925
107,755,327,107,75.59641720818341
108,755,327,108,74.25262840838323
109,755,327,109,72.83588747450251
110,755,327,110,73.11099322614871
111,755,327,111,72.66316851664985
112,755,327,112,73.1914009677577
113,755,327,113,72.18170506056026
114,755,327,114,71.08622783580276
115,755,327,115,70.8882957211033
116,755,327,116,72.76544094885872
117,755,327,117,70.64336389257832
118,755,327,118,69.12792055604328
119,755,327,119,69.3809437203193
120,755,327,120,69.67494334657277
121,755,327,121,69.57505622572072
122,755,327,122,70.20666333690873
123,755,327,123,69.22009327414733
124,755,327,124,69.18337727679544
125,755,327,125,70.04595357717855
126,755,327,126,69.92921253995416
127,755,327,127,70.23359981856325
128,755,327,128,68.99900980094978
129,755,327,129,68.92801795111873
130,755,327,130,69.15077778813838
131,755,327,131,68.7318668012109
132,755,327,132,68.30348585388535
133,755,327,133,68.36300971814161
134,755,327,134,68.51926829860803
135,755,327,135,68.86341836548853
136,755,327,136,68.93438466194442
137,755,327,137,67.6690889217254
138,755,327,138,69.49318025708959
139,755,327,139,69.26900334218871
140,755,327,140,68.76108971616031
141,755,327,141,68.44501307766433
142,755,327,142,68.80835350991555
143,755,327,143,68.49776743012279
144,755,327,144,68.28078289807661
145,755,327,145,68.51357205028035
146,755,327,146,68.64247387516392
147,755,327,147,68.55202344718745
148,755,327,148,69.55381341876816
149,755,327,149,69.32026814586743
150,755,327,150,71.18668607943056
151,755,327,151,71.22729333290158
152,755,327,152,71.4603896923246
153,755,327,153,70.96378111458228
154,755,327,154,71.6525459991442
155,755,327,155,71.10823229358542
156,755,327,156,71.64601017982173
157,755,327,157,71.75179438549449
158,755,327,158,71.01960320920548
159,755,327,159,71.12046598043304
160,755,327,160,71.88178938612272
161,755,327,161,70.73591622694258
162,755,327,162,71.5376924615077
163,755,327,163,71.51086084693327
164,755,327,164,71.41904983337209
165,755,327,165,72.3692893144141
166,755,327,166,72.97830326570661
167,755,327,167,73.45697028659451
168,755,327,168,73.49166430049081
169,755,327,169,73.8403553641136
170,755,327,170,72.60677478725589
